51300018686,gfc,123,41
51300057381,cef,235,131
51300074997,aae,14,161
51300080530,caf,53,97
51300096720,gdf,102,220
51300119084,ggd,109,36
51300161580,gae,80,217
51300289277,fga,259,202
51300312919,ebc,90,120
51300320210,gaf,90,149
51300359345,gae,280,249
51300366187,ecc,118,272
51300377956,cgb,231,165
51300383190,fbc,217,272
51300440245,ccd,47,247
51300453210,eeb,160,81
51300471197,cbc,74,220
51300511474,cdd,250,56
51300577779,bdc,57,11
51300599877,add,279,119
51300601670,feg,101,29
51300608915,gbf,129,135
51300612155,gdg,105,224
51300623227,gad,158,161
51300638931,bbd,159,220
51300642275,fdb,63,262
51300680930,ggc,192,35
51300691321,ecb,50,6
51300695264,cbf,37,8
51300709627,cfd,171,133
51300738177,ceg,137,219
51300749679,fee,139,244
51300760272,dae,257,200
51300769054,aaf,159,91
51300789323,gcb,187,81
51300814342,dgc,90,155
51300819679,dad,3,238
51300827856,bdg,171,223
51300842670,acf,166,160
51300857290,gbe,261,20
51300875148,dde,134,242
51300887677,eff,98,178
51300922019,fea,164,293
51300934349,edc,144,221
51300946569,fad,170,45
51300967858,gcg,188,117
51300984507,egd,16,153
51301028381,fbb,157,50
51301039823,aae,298,164
51301044278,ccd,18,249
51301070077,eab,212,245
51301089230,bea,210,139
51301118874,cbe,281,85
51301150727,ddb,99,269
51301170699,aac,182,130
51301207236,fda,48,164
51301212988,fcg,146,35
51301264706,dcb,23,242
51301267235,dbc,25,25
51301292629,fcg,127,38
51301313001,bff,194,142
51301317237,gcf,180,46
51301321484,cab,263,291
51301407934,ace,210,47
51301412502,fac,253,121
51301429175,bgb,37,33
51301442499,fbc,154,318
51301464410,bdb,124,44
51301467700,bad,203,171
51301471163,cgc,138,47
51301508226,cdf,41,266
51301542511,ecg,286,48
51301563313,gcf,117,43
51301599852,acg,34,111
51301602453,ggg,242,213
51301623449,dec,8,250
51301659429,bcc,181,7
51301704676,def,272,8
51301712028,cdb,202,254
51301732516,ffd,124,260
51301732931,bbe,168,184
51301745683,dbd,267,293
51301765163,acc,256,27
51301785220,dee,109,185
51301789066,eba,173,42
51301802146,dbe,87,102
51301802578,efb,230,149
51301802916,eac,215,107
51301828943,egf,231,260
51301858789,ccc,271,121
51301872269,gfc,171,47
51301887357,caa,67,164
51301892576,ega,149,31
51302053299,fef,262,129
51302074217,ead,168,134
51302076563,fgc,59,209
51302080944,eee,256,52
51302199644,acg,23,112
51302254669,dab,266,107
51302265451,dgb,58,273
51302295812,afg,155,266
51302310875,gad,11,157
51302392380,ade,98,172
51302413888,bgg,275,68
51302430955,cbg,180,71
51302456638,ggb,209,42
51302509583,ebe,7,270
51302530549,fdb,69,303
51302542022,fdg,184,208
51302569724,bed,75,134
51302600733,gfd,192,15
51302649962,fdc,265,286
51302705031,ecb,211,5
51302708428,abb,283,119
51302729391,cab,223,279
51302752080,fge,13,106
51302759023,cbe,201,95
51302770526,gfe,161,73
51302771194,eff,97,149
51302783800,acf,162,137
51302788169,ega,108,32
51302796270,ebb,166,159
51302807021,ade,285,175
51302834040,cfg,114,217
51302834189,ccg,238,132
51302839639,acb,31,56
51302904419,eff,6,162
51302992367,fcf,175,151
51302998004,bcg,276,258
51302998904,dba,199,216
51303000050,aga,287,46
51303011072,afb,174,270
51303048602,cgg,60,249
51303049828,cba,213,105
51303050853,dfg,272,124
51303073659,bae,185,11
51303087672,gcf,12,50
51303099846,eag,200,182
51303101540,ecd,264,67
51303140239,ege,202,297
51303152973,dag,65,229
51303165129,gcg,160,127
51303177134,gbg,31,95
51303206666,bee,32,54
51303213077,cfb,26,187
51303221795,egf,133,265
51303223074,afa,246,228
51303262280,ddg,175,180
51303264914,bae,232,11
51303280609,ccg,40,147
51303280751,cad,10,283
51303307341,fag,81,73
51303313612,gcb,146,89
51303339668,aea,207,165
51303363686,agd,6,20
51303364855,eag,99,203
51303383700,afd,234,98
51303393744,bcb,296,36
51303398023,cea,170,118
51303490520,bfe,188,90
51303495572,fcc,190,91
51303496306,cde,88,240
51303501486,fbc,108,254
51303536213,cgd,40,232
51303546660,gbf,61,145
51303563712,gbe,249,18
51303571588,dfg,257,145
51303620121,abd,6,269
51303640095,dfe,56,271
51303701829,cbe,183,104
51303706104,dgc,283,142
51303750382,gfb,179,279
51303751400,bgd,189,154
51303752589,afc,162,122
51303803588,bdc,36,12
51303869517,dcb,107,285
51303879021,edg,146,298
51303910694,cad,22,331
51303950376,fgb,30,191
51303950777,aee,136,139
51303952935,gdc,14,291
51303978762,gfd,244,15
51303994572,gfb,101,279
51304003541,bda,250,29
51304012003,gfc,66,48
51304019526,ebd,277,235
51304021264,bgf,66,70
51304023528,fda,241,162
51304079460,bdc,266,13
51304090566,ggb,161,47
51304093267,gaf,147,157
51304120954,bfa,90,262
51304154953,age,235,8
51304156676,bde,243,90
51304177679,ada,42,73
51304179159,cag,285,22
51304202141,agb,34,254
51304202248,eda,197,242
51304226998,ggf,187,187
51304256581,ded,5,122
51304274259,cbd,258,120
51304309381,dgf,90,298
51304335086,daf,23,88
51304369664,dbb,121,175
51304376334,dgf,36,303
51304377112,edf,155,67
51304394601,gfa,127,289
51304398384,aba,232,9
51304421246,fcg,77,35
51304458823,fcg,149,38
51304466777,ega,234,35
51304473559,dga,10,139
51304484716,aff,219,62
51304497733,ded,242,136
51304511317,dcd,21,296
51304544864,bgb,241,34
